Name,Price,Category,Description,Condition,Sold,Photo
55" Flat Screen TV (Basement),TBD,Electronics,Flat screen TV on white media console in basement entertainment nook.,Used,false,IMG_5570.JPG
White Media Console with Glass Doors,TBD,Furniture,White media cabinet with frosted glass doors and upper open shelf. Clean condition.,Used,false,IMG_5570.JPG
Gold Decorative Vase,TBD,Decor,Gold accent vase displayed on media console.,Used,false,IMG_5570.JPG
White Air Purifier,TBD,Appliances,Small white air purifier unit.,Used,false,IMG_5570.JPG
Navy Area Rug (Basement),TBD,Decor,Large navy blue area rug.,Used,false,
Green Sectional Sofa,TBD,Furniture,Large olive green sectional sofa with chaise. Minor wear.,Used,false,IMG_5571.JPG
Gray Accent Chair,TBD,Furniture,Gray upholstered accent chair.,Used,false,IMG_5571.JPG
Wood Coffee Table with Lower Shelf,TBD,Furniture,Rustic dark wood coffee table with lower shelf and cross-leg base.,Used,false,IMG_5571.JPG
Concept2 Rowing Machine,TBD,Sports,Concept2 rowing machine. Works great — a serious piece of equipment.,Used,false,IMG_5573.JPG
Exercise / Stability Ball,TBD,Sports,Large black stability ball.,Used,false,IMG_5573.JPG
Kettlebells (Set),TBD,Sports,Set of two kettlebells visible in gym room.,Used,false,IMG_5573.JPG
Gym Floor Mat,TBD,Sports,Large black interlocking foam gym floor mat.,Used,false,IMG_5573.JPG
Large Monstera Plant,TBD,Decor,Tall thriving monstera plant in black pot. Great statement piece.,Used,false,IMG_5573.JPG
Crystal Singing Bowl Set (7 bowls),TBD,Wellness,Full 7-piece crystal singing bowl set with mallets and carrying case. Tuned to chakra scale.,Used,false,IMG_5572.JPG
Arched Floor Mirror (Meditation Room),TBD,Decor,Arched mirror with natural/cream frame. Leaning style.,Used,false,IMG_5572.JPG
Portable Steam Sauna,TBD,Wellness,Portable personal steam sauna tent with chair insert. Includes controller.,Used,false,IMG_5572.JPG
Meditation Cushion / Floor Pouf,TBD,Wellness,Brown/burgundy meditation floor cushion.,Used,false,IMG_5572.JPG
Beige Sectional Sofa (Main Floor),TBD,Furniture,Large beige/tan sectional sofa in good condition. Very comfortable.,Used,false,IMG_5584.JPG
Beige Loveseat / Sofa (Main Floor),TBD,Furniture,Matching beige loveseat to the sectional.,Used,false,IMG_5584.JPG
Large Shag Area Rug,TBD,Decor,Large cream and gray shag area rug with geometric pattern.,Used,false,IMG_5584.JPG
Square Storage Ottoman,TBD,Furniture,Gray corduroy square ottoman with wooden serving tray on top.,Used,false,IMG_5584.JPG
Wooden Serving Tray,TBD,Decor,Rectangular wooden serving/coffee tray.,Used,false,IMG_5584.JPG
Round Dining Table,TBD,Furniture,Small round dark wood dining table visible in background.,Used,false,IMG_5584.JPG
Dining Chairs (Set),TBD,Furniture,Wooden dining chairs visible near round table.,Used,false,IMG_5584.JPG
Ladder Shelf with Lamp,TBD,Furniture,Wooden ladder-style shelf with built-in floor lamp. Warm aesthetic.,Used,false,IMG_5584.JPG
Full Length Mirror with LED Lighting,TBD,Decor,White-framed full length floor mirror with LED accent lighting on back.,Used,false,IMG_5584.JPG
Large Abstract Canvas Wall Art,TBD,Decor,Large neutral-toned abstract canvas painting. Light gray and beige tones.,Used,false,IMG_5585.JPG
Knit Pouf / Footstool,TBD,Decor,Small round knit pouf on wooden legs.,Used,false,IMG_5585.JPG
Gray Dresser with Open Shelving,TBD,Furniture,Gray wood-tone dresser with drawer unit and open cube shelving above.,Used,false,IMG_5594.JPG
Full Length Mirror (Closet),TBD,Decor,Silver/gray framed full length leaning mirror.,Used,false,IMG_5594.JPG
Yoga Mats (2),TBD,Sports,Two yoga mats — one pink rolled mat and one gray.,Used,false,IMG_5574.JPG
Adjustable Dumbbells / Weight Set,TBD,Sports,Set of adjustable dumbbells with additional weight plates.,Used,false,IMG_5574.JPG
Vacuum Cleaner,TBD,Appliances,Upright vacuum cleaner.,Used,false,IMG_5574.JPG
Yoga Block,TBD,Sports,Teal foam yoga block.,Used,false,IMG_5574.JPG
Small Wood Storage Unit,TBD,Furniture,Small open wood shelf / storage cube unit.,Used,false,IMG_5574.JPG
Queen / King Bed Frame (Upholstered),TBD,Furniture,Gray upholstered bed frame — tufted nailhead style.,Used,false,IMG_5588.JPG
White Vanity Table,TBD,Furniture,Small white single-drawer vanity table.,Used,false,IMG_5588.JPG
Blackout Curtains (Bedroom Set),TBD,Decor,Set of navy blackout curtain panels with rods.,Used,false,IMG_5588.JPG
Triple Arc Floor Lamp,TBD,Lighting,Black arc floor lamp with three linen drum shades.,Used,false,IMG_5607.JPG
Octagon Wall Mirror,TBD,Decor,Gold/silver octagon-shaped wall mirror.,Used,false,IMG_5607.JPG
Black Console / Writing Desk,TBD,Furniture,Sleek black console desk with single drawer.,Used,false,IMG_5607.JPG
Wooden Crate,TBD,Decor,Decorative wood crate used as side storage.,Used,false,IMG_5607.JPG
Whiteboards (2),TBD,Office,Two large whiteboards — assorted sizes with sticky note content.,Used,false,IMG_5607.JPG
Round Side Table / Nightstand (Dark Wood),TBD,Furniture,Small dark wood round side table with lower shelf.,Used,false,IMG_5606.JPG
Table Lamp (Ceramic Base),TBD,Lighting,Table lamp with ceramic textured base and warm shade.,Used,false,IMG_5606.JPG
Space Heater,TBD,Appliances,Small white tower space heater.,Used,false,IMG_5606.JPG
White and Walnut Cabinet (Low),TBD,Furniture,Low modern cabinet with white body and walnut-toned slatted sliding door.,Used,false,IMG_5576.JPG
Rope Storage Basket,TBD,Decor,Large woven rope storage basket.,Used,false,IMG_5576.JPG
Tall White Wardrobe Cabinet,TBD,Furniture,Tall all-white freestanding wardrobe with doors.,Used,false,IMG_5596.JPG
White Cube Shelving Unit (4-cube),TBD,Furniture,White 4-cube organizer shelf unit.,Used,false,IMG_5596.JPG
Camera Tripod,TBD,Electronics,Black camera tripod.,Used,false,IMG_5596.JPG
Portable Personal Steam Sauna,TBD,Wellness,Full portable steam sauna enclosure with fold-out chair and timer controller.,Used,false,IMG_5598.JPG
Digital Bathroom Scale,TBD,Wellness,White digital bathroom scale.,Used,false,IMG_5598.JPG
Small Black Side Table,TBD,Furniture,Small black two-tier side table.,Used,false,IMG_5598.JPG
55" Samsung TV (Bedroom),TBD,Electronics,Large Samsung flat screen TV wall-mounted. Includes soundbar below.,Used,false,IMG_5595.JPG
Soundbar,TBD,Electronics,Black soundbar displayed below bedroom TV.,Used,false,IMG_5595.JPG
White Cube Storage Shelf with Fabric Bins,TBD,Furniture,White 8-cube storage shelf with gray fabric bin inserts.,Used,false,IMG_5595.JPG
Hue / Smart Lights (Pair),TBD,Electronics,Two smart color-changing light orbs used as TV accent lighting.,Used,false,IMG_5595.JPG
5-Tier Corner Ladder Shelf,TBD,Furniture,Dark wood 5-tier corner ladder bookshelf.,Used,false,IMG_5589.JPG
Floor Lamp with Drum Shade,TBD,Lighting,Silver pole floor lamp with gray drum shade and pull chain.,Used,false,IMG_5589.JPG
Shoe Storage Organizer (Wall Unit),TBD,Furniture,Large white wall-mounted shoe cubby organizer with multiple slots.,Used,false,IMG_5575.JPG
White Wardrobe Cabinet (Bedroom),TBD,Furniture,Tall white two-door wardrobe cabinet.,Used,false,IMG_5575.JPG
Ocean / Seascape Canvas Painting,TBD,Decor,Original or print canvas painting — teal and blue ocean/sky scene.,Used,false,IMG_5586.JPG
White Console Table (Bedroom),TBD,Furniture,White slim console table with single drawer and lower shelf.,Used,false,IMG_5586.JPG
Full Length Mirror (Bedroom),TBD,Decor,White-framed full length mirror with LED backlighting.,Used,false,IMG_5586.JPG
Small Electric Fan,TBD,Appliances,Small white desktop/tabletop fan.,Used,false,IMG_5586.JPG
Dark Wood 5-Tier Corner Ladder Shelf with Lamp,TBD,Furniture,Corner ladder shelf with built-in floor lamp.,Used,false,IMG_5587.JPG
